ACCESS,AU,PROJ,SID,START,STOP,ACTIVE,NWELLS,ACWELLS
5217, 12, 50, 233, 1979, 0, 1, 1, 1
5218, 12, 50, 26679, 1998, 0, 1, 1, 1
5219, 12, 50, 233, 1997, 0, 1, 1, 1
5220, 12, 50, 6114, 1982, 1982, 0, 1, 0
5221, 12, 50, 7785, 0, 0, 0, 0, 0
5222, 12, 50, 7785, 2000, 2008, 0, 1, 0
5223, 12, 50, 7785, 1978, 0, 1, 1, 1
5224, 12, 50, 7785, 0, 0, 0, 0, 0
5225, 12, 50, 7785, 1981, 2013, 0, 0, 0
5226, 12, 50, 13619, 1983, 2001, 0, 1, 0
5227, 12, 50, 3594, 1980, 1990, 0, 1, 0
5228, 12, 50, 7785, 1977, 0, 1, 2, 1
5229, 12, 50, 8612, 1980, 1987, 0, 1, 0
5230, 12, 50, 10274, 1980, 0, 1, 0, 0
5231, 12, 50, 6947, 0, 0, 0, 0, 0
5232, 12, 50, 21740, 2008, 2008, 0, 1, 0
5233, 12, 50, 14441, 1995, 2008, 0, 1, 0
5234, 12, 50, 19323, 1978, 2000, 0, 1, 0
5235, 12, 50, 26638, 1982, 1982, 0, 1, 0
5236, 12, 50, 19323, 2004, 2009, 0, 1, 0
5237, 21, 23, 15381, 1991, 2006, 0, 1, 0
5238, 8, 23, 15381, 1980, 0, 1, 3, 1
5239, 8, 23, 14564, 1979, 0, 1, 1, 1
5240, 8, 23, 14564, 1994, 0, 1, 1, 1
5241, 8, 23, 24291, 1992, 0, 1, 1, 1
5242, 8, 23, 23483, 1989, 0, 1, 1, 1
5243, 8, 23, 24291, 1992, 0, 1, 1, 1
5244, 8, 23, 23483, 1992, 0, 1, 1, 1
5245, 8, 23, 22674, 1990, 2012, 0, 1, 0
5246, 8, 23, 24291, 2004, 0, 1, 1, 1
5247, 8, 23, 20245, 2005, 0, 1, 1, 1
5248, 8, 23, 23483, 2005, 0, 1, 1, 1
5249, 8, 23, 23483, 2005, 2009, 0, 1, 0
5250, 8, 23, 24291, 1992, 0, 1, 1, 1
5251, 8, 23, 23483, 1992, 0, 1, 1, 1
5252, 8, 23, 22674, 1992, 0, 1, 1, 1
5253, 8, 23, 24291, 1979, 2010, 0, 1, 0
5254, 8, 23, 23483, 2005, 0, 1, 1, 1
5255, 8, 23, 26759, 2007, 0, 1, 1, 1
5256, 8, 23, 313, 1978, 0, 1, 1, 1
5257, 8, 23, 313, 1992, 0, 1, 1, 1
5258, 8, 23, 9534, 1978, 2014, 0, 1, 0
5259, 8, 23, 1149, 1991, 0, 1, 2, 2
5260, 8, 23, 5357, 1982, 0, 1, 1, 1
5261, 8, 23, 16190, 1991, 1998, 0, 1, 0
5262, 8, 23, 16190, 1976, 2010, 0, 1, 0
5263, 8, 23, 16190, 1993, 0, 1, 1, 1
5264, 21, 23, 23483, 0, 0, 0, 0, 0
5265, 8, 23, 23483, 1978, 0, 1, 1, 1
5266, 8, 23, 22674, 1992, 2010, 0, 1, 0
5267, 8, 23, 22674, 1978, 2014, 0, 1, 0
5268, 8, 23, 18611, 2007, 0, 1, 1, 1
5269, 8, 23, 18611, 1992, 0, 1, 1, 1
5270, 8, 23, 18611, 2005, 0, 1, 1, 1
5271, 8, 23, 9534, 1992, 0, 1, 1, 1
5272, 8, 23, 18611, 1989, 0, 1, 1, 1
5273, 21, 23, 18611, 0, 0, 0, 0, 0
5274, 8, 23, 9534, 1990, 0, 1, 1, 1
5275, 8, 23, 313, 1992, 0, 1, 1, 1
5276, 8, 23, 313, 2007, 0, 1, 1, 1
5277, 8, 23, 313, 1989, 0, 1, 1, 1
5278, 8, 23, 313, 2005, 0, 1, 1, 1
5279, 8, 23, 313, 2005, 0, 1, 1, 1
5280, 8, 23, 313, 2005, 0, 1, 1, 1
5281, 8, 23, 2829, 1993, 0, 1, 1, 1
5282, 8, 23, 2829, 1981, 0, 1, 1, 1
5283, 8, 23, 9534, 1992, 0, 1, 1, 1
5284, 8, 23, 9534, 2005, 0, 1, 1, 1
5285, 8, 23, 1987, 1992, 0, 1, 1, 1
5286, 8, 23, 1987, 1979, 0, 1, 1, 1
5287, 8, 23, 18611, 1992, 0, 1, 1, 1
5288, 21, 23, 1149, 1992, 0, 1, 1, 1
5289, 21, 23, 18611, 0, 0, 0, 0, 0
5290, 8, 23, 18611, 1978, 0, 1, 1, 1
5291, 8, 23, 1149, 1979, 0, 1, 1, 1
5292, 8, 23, 1149, 1994, 0, 1, 1, 1
5293, 8, 23, 5357, 2005, 0, 1, 1, 1
5294, 8, 23, 1987, 1992, 0, 1, 1, 1
5295, 8, 23, 1987, 1989, 0, 1, 1, 1
5296, 21, 23, 4517, 0, 0, 0, 0, 0
5297, 8, 23, 1987, 2006, 0, 1, 1, 1
5298, 8, 23, 2829, 2005, 0, 1, 1, 1
5299, 8, 23, 2829, 1993, 0, 1, 1, 1
5300, 8, 23, 3674, 2008, 0, 1, 1, 1
5301, 8, 23, 3674, 2005, 0, 1, 1, 1
5302, 8, 23, 2829, 1992, 0, 1, 1, 1
5303, 8, 23, 27586, 2005, 0, 1, 1, 1
5304, 8, 23, 3674, 1980, 2013, 0, 1, 0
5305, 21, 23, 3674, 0, 0, 0, 0, 0
5306, 21, 23, 3674, 0, 0, 0, 0, 0
5307, 8, 23, 3674, 1992, 0, 1, 1, 1
5308, 8, 23, 3674, 1989, 0, 1, 1, 1
5309, 8, 23, 3674, 1994, 0, 1, 1, 1
5310, 8, 23, 4517, 1991, 0, 1, 1, 1
5311, 8, 23, 4517, 2005, 0, 1, 1, 1
5312, 21, 23, 4517, 0, 0, 0, 0, 0
5313, 21, 23, 4517, 0, 0, 0, 0, 0
5314, 8, 23, 4517, 1992, 0, 1, 1, 1
5315, 21, 23, 4517, 1992, 0, 1, 1, 1
5316, 8, 23, 5357, 1992, 0, 1, 1, 1
5317, 8, 23, 27587, 0, 0, 0, 0, 0
5318, 8, 23, 17808, 1995, 0, 1, 1, 1
5319, 8, 23, 16996, 1980, 0, 1, 2, 1
5320, 8, 23, 16996, 2008, 0, 1, 1, 1
5321, 8, 23, 16996, 1992, 0, 1, 1, 1
5322, 8, 23, 21861, 2004, 0, 1, 1, 1
5323, 8, 23, 21861, 1989, 0, 1, 1, 1
5324, 8, 23, 21861, 1978, 0, 1, 1, 1
5325, 8, 23, 21051, 1991, 0, 1, 2, 2
5326, 21, 23, 21861, 0, 0, 0, 0, 0
5327, 8, 23, 21861, 1992, 0, 1, 1, 1
5328, 8, 23, 21051, 2007, 0, 1, 1, 1
